epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,44108.6,0.70646,1.05467,1.18359,0.77209,0.67291,0.72383,0.59881,0.59823,0.67035,1.16293,0.008614,0.008614,0.008614
44,45146.1,0.70711,1.04896,1.18519,0.77025,0.67272,0.72465,0.59977,0.59808,0.66994,1.16276,0.008581,0.008581,0.008581
45,46184.3,0.70827,1.05293,1.18522,0.76335,0.67917,0.72465,0.59981,0.59699,0.66957,1.16167,0.008548,0.008548,0.008548
46,47222.1,0.70753,1.05148,1.18577,0.77534,0.66928,0.72474,0.60014,0.59647,0.66903,1.16104,0.008515,0.008515,0.008515
47,48259.6,0.70664,1.0502,1.18521,0.77924,0.66893,0.72582,0.60103,0.59654,0.66797,1.16113,0.008482,0.008482,0.008482
48,49298.2,0.70687,1.04759,1.18643,0.77228,0.67451,0.72639,0.60087,0.59705,0.66716,1.16166,0.008449,0.008449,0.008449
49,50335.6,0.70355,1.04279,1.18366,0.76495,0.68081,0.7276,0.60169,0.597,0.66679,1.16174,0.008416,0.008416,0.008416
50,51373.5,0.70781,1.04627,1.18658,0.76259,0.68284,0.72794,0.60188,0.59744,0.6659,1.162,0.008383,0.008383,0.008383
51,52411.8,0.70536,1.04415,1.18366,0.76346,0.68289,0.72855,0.60285,0.59655,0.66572,1.16123,0.00835,0.00835,0.00835
52,53449.1,0.70508,1.04443,1.18352,0.75744,0.68641,0.7292,0.6034,0.59676,0.66481,1.16104,0.008317,0.008317,0.008317
53,54486.2,0.70571,1.0419,1.18352,0.76607,0.68083,0.72922,0.60321,0.59651,0.66415,1.16069,0.008284,0.008284,0.008284
54,55523.6,0.70657,1.04619,1.18452,0.76688,0.68399,0.72952,0.60396,0.59615,0.66395,1.16048,0.008251,0.008251,0.008251
55,56561.1,0.70121,1.0386,1.18318,0.76597,0.68483,0.73045,0.60468,0.5961,0.66329,1.16019,0.008218,0.008218,0.008218
56,57599,0.70426,1.04506,1.18402,0.76786,0.6847,0.73017,0.60487,0.59588,0.663,1.16008,0.008185,0.008185,0.008185
57,58636.6,0.70594,1.0434,1.18395,0.7658,0.68581,0.73051,0.60482,0.59538,0.66248,1.15954,0.008152,0.008152,0.008152
58,59673.9,0.707,1.04208,1.18471,0.76547,0.68521,0.73028,0.60506,0.59486,0.6619,1.15909,0.008119,0.008119,0.008119
59,60711.5,0.70362,1.03592,1.18298,0.75709,0.69082,0.73061,0.60499,0.59507,0.66067,1.15924,0.008086,0.008086,0.008086
60,61749.3,0.70409,1.0367,1.18286,0.76081,0.68877,0.73111,0.60521,0.59499,0.66068,1.15923,0.008053,0.008053,0.008053
61,62786.9,0.70532,1.03756,1.18358,0.75923,0.69014,0.73135,0.60571,0.59465,0.66027,1.15868,0.00802,0.00802,0.00802
62,63824.8,0.70146,1.03589,1.1822,0.76126,0.69375,0.73233,0.60688,0.5943,0.65987,1.15814,0.007987,0.007987,0.007987
63,999.575,0.69529,1.02694,1.17761,0.76974,0.68763,0.73303,0.60663,0.59369,0.65842,1.15764,0.007954,0.007954,0.007954
64,2037.05,0.70187,1.03602,1.18143,0.76709,0.69043,0.73346,0.60786,0.59376,0.65701,1.15754,0.007921,0.007921,0.007921
65,3074.3,0.70196,1.03585,1.18384,0.76755,0.68494,0.73328,0.60757,0.59374,0.65665,1.15742,0.007888,0.007888,0.007888
66,4111.86,0.70145,1.03568,1.18255,0.76434,0.6923,0.73304,0.60733,0.59419,0.65538,1.15753,0.007855,0.007855,0.007855
67,5149.2,0.70168,1.03841,1.18066,0.76411,0.69246,0.73326,0.60711,0.59443,0.65518,1.15769,0.007822,0.007822,0.007822
68,6131.85,0.70529,1.0421,1.18173,0.75959,0.69332,0.73351,0.607,0.59472,0.6556,1.15821,0.007789,0.007789,0.007789
69,7120.93,0.70031,1.03041,1.18121,0.76038,0.69467,0.73306,0.60666,0.59504,0.65617,1.15841,0.007756,0.007756,0.007756
70,8159.52,0.70245,1.03604,1.18248,0.75242,0.7017,0.73337,0.6062,0.59511,0.65536,1.159,0.007723,0.007723,0.007723
71,9198.24,0.70307,1.03684,1.18262,0.75914,0.69553,0.73322,0.60631,0.59587,0.65499,1.15945,0.00769,0.00769,0.00769
72,10235.2,0.70294,1.03447,1.18366,0.7607,0.69464,0.73319,0.60644,0.59618,0.65466,1.15962,0.007657,0.007657,0.007657
73,11210.9,0.70019,1.03276,1.18045,0.76238,0.69579,0.73398,0.60757,0.59626,0.65396,1.16016,0.007624,0.007624,0.007624
74,12185.7,0.70222,1.02738,1.18195,0.76008,0.6967,0.73402,0.60789,0.59617,0.65388,1.15996,0.007591,0.007591,0.007591
75,13160.6,0.70193,1.02942,1.18159,0.75783,0.69802,0.73409,0.60819,0.59615,0.65256,1.15997,0.007558,0.007558,0.007558
76,14134.9,0.70033,1.02736,1.1805,0.75716,0.7007,0.73407,0.6081,0.59594,0.65212,1.15995,0.007525,0.007525,0.007525
77,15172.9,0.70465,1.02556,1.1847,0.7598,0.70004,0.7346,0.60839,0.59549,0.65197,1.15932,0.007492,0.007492,0.007492
78,16212,0.701,1.03309,1.18149,0.75867,0.69849,0.73454,0.60823,0.59442,0.65248,1.15851,0.007459,0.007459,0.007459
79,17249,0.69772,1.02599,1.18058,0.76905,0.69072,0.73367,0.60746,0.59386,0.6537,1.15782,0.007426,0.007426,0.007426
80,18226.3,0.70043,1.02649,1.18099,0.7652,0.69364,0.73448,0.60774,0.5932,0.65397,1.1572,0.007393,0.007393,0.007393
81,19201.2,0.70084,1.0317,1.18233,0.76979,0.68984,0.73528,0.60825,0.5938,0.65437,1.15767,0.00736,0.00736,0.00736
