epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,5066.02,0.66939,0.94827,1.16323,0.80335,0.71846,0.76837,0.63931,0.58367,0.62164,1.14425,0.003862,0.003862,0.003862
188,6102.94,0.67156,0.95077,1.16421,0.80318,0.72042,0.76952,0.64048,0.58324,0.62073,1.14404,0.003829,0.003829,0.003829
189,7140.59,0.6677,0.94709,1.16226,0.79536,0.72249,0.76967,0.64064,0.58291,0.62014,1.14375,0.003796,0.003796,0.003796
190,8177.77,0.67242,0.9449,1.16483,0.79529,0.72136,0.77,0.64102,0.58236,0.61914,1.14364,0.003763,0.003763,0.003763
191,9214.88,0.67176,0.93641,1.16571,0.79591,0.72202,0.77098,0.64163,0.58249,0.61772,1.14387,0.00373,0.00373,0.00373
192,10252.2,0.66929,0.94524,1.16251,0.79502,0.71944,0.77065,0.64203,0.58191,0.6179,1.14302,0.003697,0.003697,0.003697
193,11266,0.66619,0.94583,1.16249,0.79226,0.71926,0.77125,0.64236,0.58142,0.61815,1.14236,0.003664,0.003664,0.003664
194,12302.9,0.66585,0.94284,1.16139,0.79316,0.72156,0.77155,0.6422,0.58146,0.61905,1.14203,0.003631,0.003631,0.003631
195,13303,0.66835,0.94191,1.16133,0.79197,0.72243,0.77127,0.64173,0.58183,0.61907,1.14206,0.003598,0.003598,0.003598
196,14323.9,0.67057,0.94468,1.16351,0.79303,0.72194,0.77113,0.64136,0.58115,0.61852,1.14176,0.003565,0.003565,0.003565
197,15361,0.66579,0.93478,1.16225,0.79345,0.72126,0.77105,0.64147,0.58125,0.61732,1.14208,0.003532,0.003532,0.003532
198,16365.6,0.66928,0.93879,1.16322,0.79132,0.72428,0.77138,0.64215,0.58102,0.61676,1.14175,0.003499,0.003499,0.003499
199,17369.6,0.66538,0.93407,1.1606,0.79354,0.72229,0.77167,0.64233,0.58119,0.61609,1.14184,0.003466,0.003466,0.003466
200,18406.9,0.66576,0.93156,1.1605,0.79231,0.72342,0.77145,0.64288,0.58088,0.61541,1.1413,0.003433,0.003433,0.003433
201,19445.1,0.66368,0.93497,1.16053,0.78989,0.72118,0.77166,0.64276,0.58131,0.6157,1.14141,0.0034,0.0034,0.0034
202,20484.5,0.66736,0.93529,1.16135,0.78825,0.72514,0.77073,0.64265,0.58128,0.61611,1.14103,0.003367,0.003367,0.003367
203,21522.6,0.66324,0.9278,1.15922,0.7904,0.72265,0.77084,0.64263,0.58088,0.61702,1.14052,0.003334,0.003334,0.003334
204,22560.6,0.6639,0.93424,1.16083,0.78708,0.72223,0.77137,0.64342,0.58056,0.61717,1.1402,0.003301,0.003301,0.003301
205,23598.6,0.66439,0.93038,1.16041,0.78408,0.72695,0.77108,0.64302,0.58024,0.61769,1.13997,0.003268,0.003268,0.003268
206,24636.3,0.66269,0.92715,1.16047,0.77694,0.73327,0.77088,0.6434,0.58002,0.61698,1.1398,0.003235,0.003235,0.003235
207,25673.9,0.66396,0.93107,1.16049,0.78047,0.72831,0.77122,0.64372,0.57988,0.6164,1.13971,0.003202,0.003202,0.003202
208,26715.1,0.66112,0.92786,1.15786,0.79232,0.72162,0.77191,0.64425,0.57928,0.61569,1.13924,0.003169,0.003169,0.003169
209,27753.7,0.66008,0.92512,1.158,0.79168,0.7251,0.77245,0.64481,0.57885,0.61448,1.1385,0.003136,0.003136,0.003136
210,28794.3,0.66017,0.9285,1.159,0.79345,0.72651,0.77351,0.64543,0.57814,0.6151,1.13767,0.003103,0.003103,0.003103
211,29831.4,0.66459,0.92368,1.16087,0.79282,0.72625,0.77423,0.6459,0.57797,0.6147,1.1373,0.00307,0.00307,0.00307
212,30869.5,0.6622,0.92109,1.15858,0.79382,0.72993,0.77445,0.64682,0.57759,0.61407,1.13694,0.003037,0.003037,0.003037
213,31908.4,0.6617,0.92152,1.15939,0.79114,0.73237,0.77521,0.64713,0.57756,0.61298,1.13679,0.003004,0.003004,0.003004
214,32946.8,0.66272,0.92469,1.16016,0.79369,0.7324,0.7759,0.64711,0.57776,0.61286,1.13687,0.002971,0.002971,0.002971
215,1014.96,0.65288,0.89153,1.15362,0.79585,0.73136,0.77588,0.64693,0.57731,0.61205,1.13617,0.002938,0.002938,0.002938
216,2013.29,0.65447,0.90904,1.15345,0.79965,0.72879,0.77638,0.64792,0.57701,0.61237,1.13575,0.002905,0.002905,0.002905
217,3019.05,0.65527,0.91422,1.15499,0.79736,0.73099,0.77658,0.64805,0.57721,0.6126,1.13562,0.002872,0.002872,0.002872
218,4054.81,0.65656,0.90864,1.15559,0.80029,0.72892,0.77729,0.6493,0.57769,0.61161,1.136,0.002839,0.002839,0.002839
219,5068.6,0.65617,0.91589,1.15627,0.80182,0.72915,0.7777,0.64915,0.57807,0.61174,1.13593,0.002806,0.002806,0.002806
220,6088.16,0.65688,0.91182,1.15529,0.80027,0.72995,0.77794,0.6492,0.57814,0.61096,1.13599,0.002773,0.002773,0.002773
221,7124.49,0.65452,0.91036,1.15403,0.80296,0.72744,0.77878,0.65001,0.57793,0.61006,1.13593,0.00274,0.00274,0.00274
222,8161.38,0.6566,0.90436,1.15597,0.80344,0.7272,0.77901,0.64991,0.57781,0.60926,1.13555,0.002707,0.002707,0.002707
223,9200.02,0.65495,0.90779,1.15526,0.80234,0.72787,0.77931,0.65016,0.57734,0.60926,1.13479,0.002674,0.002674,0.002674
224,10237.3,0.65616,0.90952,1.15597,0.80128,0.72621,0.77919,0.65005,0.57698,0.60872,1.13442,0.002641,0.002641,0.002641
225,11273.7,0.65601,0.90948,1.15549,0.80364,0.7295,0.7797,0.65049,0.57668,0.60903,1.13418,0.002608,0.002608,0.002608
226,12310.9,0.65555,0.90478,1.15547,0.80594,0.72902,0.78056,0.65165,0.57677,0.6087,1.13433,0.002575,0.002575,0.002575
227,989.454,0.64185,0.87307,1.14668,0.80803,0.72833,0.78139,0.6523,0.57607,0.60825,1.13352,0.002542,0.002542,0.002542
228,2020.64,0.64595,0.88219,1.14896,0.80931,0.72645,0.78217,0.65306,0.57547,0.60755,1.13276,0.002509,0.002509,0.002509
229,3048.31,0.64303,0.88754,1.14771,0.8092,0.72995,0.78277,0.65413,0.5753,0.60727,1.1322,0.002476,0.002476,0.002476
230,4064.45,0.64658,0.88046,1.14845,0.8116,0.72949,0.78373,0.65459,0.57506,0.60744,1.13172,0.002443,0.002443,0.002443
231,5097.07,0.64494,0.88649,1.14859,0.81149,0.73003,0.7845,0.65526,0.57454,0.6069,1.1309,0.00241,0.00241,0.00241
232,6129.37,0.64783,0.87806,1.1484,0.80981,0.73086,0.78531,0.65637,0.5745,0.60631,1.13063,0.002377,0.002377,0.002377
233,7161.36,0.64969,0.88705,1.15241,0.81002,0.73271,0.78617,0.65689,0.57496,0.60569,1.13074,0.002344,0.002344,0.002344
234,8193.65,0.64692,0.87487,1.15121,0.8133,0.73109,0.787,0.65736,0.57486,0.6044,1.13041,0.002311,0.002311,0.002311
235,9226.12,0.64549,0.87899,1.14947,0.81346,0.73206,0.78753,0.65816,0.57443,0.60348,1.12998,0.002278,0.002278,0.002278
236,10258.7,0.64501,0.87518,1.15022,0.81493,0.73267,0.78859,0.65941,0.57433,0.60223,1.13025,0.002245,0.002245,0.002245
237,11291.3,0.64367,0.87932,1.14894,0.81544,0.7321,0.78945,0.66045,0.57381,0.6019,1.12982,0.002212,0.002212,0.002212
238,12325.5,0.64141,0.87822,1.14646,0.80269,0.73117,0.78909,0.65984,0.57369,0.60173,1.12938,0.002179,0.002179,0.002179
239,13358.5,0.64318,0.87043,1.14745,0.81026,0.7256,0.78947,0.66053,0.57369,0.60103,1.12919,0.002146,0.002146,0.002146
240,14390.8,0.64576,0.87055,1.15002,0.80655,0.72921,0.79004,0.66158,0.57322,0.60079,1.12893,0.002113,0.002113,0.002113
241,15423.3,0.6451,0.87352,1.14984,0.81306,0.7332,0.79092,0.66212,0.57344,0.60026,1.12881,0.00208,0.00208,0.00208
242,16456,0.64012,0.86678,1.14548,0.81385,0.73267,0.7916,0.66237,0.57336,0.59904,1.12864,0.002047,0.002047,0.002047
243,17488.8,0.64214,0.86689,1.14722,0.8162,0.7322,0.79191,0.66205,0.57345,0.59821,1.1285,0.002014,0.002014,0.002014
244,18521.7,0.64424,0.86761,1.1482,0.81318,0.73488,0.79238,0.66193,0.57316,0.59803,1.12815,0.001981,0.001981,0.001981
245,19554.8,0.64032,0.86725,1.14603,0.8158,0.73396,0.79272,0.66193,0.57233,0.59844,1.12735,0.001948,0.001948,0.001948
246,20588.4,0.63699,0.86236,1.14442,0.81251,0.7339,0.79291,0.66213,0.57236,0.59834,1.12696,0.001915,0.001915,0.001915
247,995.554,0.63005,0.8339,1.13987,0.79606,0.74034,0.7933,0.6626,0.57197,0.59778,1.12641,0.001882,0.001882,0.001882
248,2013.01,0.63553,0.85258,1.14334,0.80099,0.73979,0.79378,0.66406,0.5719,0.59758,1.1261,0.001849,0.001849,0.001849
249,3044.33,0.63731,0.8536,1.14402,0.79528,0.74543,0.79412,0.66445,0.57203,0.59749,1.12625,0.001816,0.001816,0.001816
250,4075.77,0.63632,0.84937,1.14392,0.8008,0.7437,0.79531,0.66541,0.57218,0.59655,1.12629,0.001783,0.001783,0.001783
251,5107.97,0.63735,0.85153,1.14477,0.80848,0.74363,0.79522,0.66572,0.572,0.59582,1.12605,0.00175,0.00175,0.00175
252,1011.02,0.62286,0.81207,1.13596,0.80883,0.74448,0.79539,0.66535,0.57171,0.59542,1.12559,0.001717,0.001717,0.001717
253,2041.12,0.63078,0.84132,1.14006,0.80612,0.74427,0.79605,0.66636,0.5719,0.59528,1.12529,0.001684,0.001684,0.001684
254,3072.07,0.6322,0.84905,1.14132,0.80662,0.74221,0.79608,0.66607,0.57196,0.59541,1.12525,0.001651,0.001651,0.001651
255,4103.12,0.6307,0.84276,1.14142,0.81284,0.74155,0.79705,0.66678,0.57146,0.59524,1.1249,0.001618,0.001618,0.001618
256,5134.65,0.63155,0.84613,1.14158,0.80774,0.74338,0.79701,0.66744,0.57115,0.5949,1.12449,0.001585,0.001585,0.001585
257,6142.33,0.62961,0.83749,1.13978,0.79516,0.74619,0.79737,0.66732,0.57125,0.59508,1.12411,0.001552,0.001552,0.001552
258,7174.17,0.62927,0.84202,1.14099,0.80431,0.74492,0.79752,0.66758,0.57127,0.59503,1.12386,0.001519,0.001519,0.001519
259,8205.76,0.63291,0.83988,1.14199,0.79721,0.74484,0.79768,0.66804,0.57098,0.59445,1.12364,0.001486,0.001486,0.001486
260,9205.94,0.62744,0.83685,1.13838,0.80038,0.74387,0.79799,0.66876,0.57104,0.5931,1.12376,0.001453,0.001453,0.001453
261,10238.1,0.62773,0.83488,1.13956,0.79944,0.74299,0.79845,0.6697,0.57101,0.5924,1.12344,0.00142,0.00142,0.00142
262,11251.8,0.62714,0.82957,1.13829,0.79428,0.74656,0.79902,0.66971,0.5708,0.59157,1.12306,0.001387,0.001387,0.001387
263,12283.8,0.62763,0.83307,1.14073,0.79311,0.74647,0.7989,0.66987,0.57083,0.59116,1.12288,0.001354,0.001354,0.001354
264,13316.9,0.62457,0.83132,1.1375,0.79395,0.74726,0.79899,0.67012,0.5704,0.59013,1.12247,0.001321,0.001321,0.001321
265,14350.3,0.62041,0.82258,1.13381,0.80669,0.74603,0.79951,0.67066,0.56979,0.5897,1.12198,0.001288,0.001288,0.001288
266,15382.6,0.62549,0.82517,1.13847,0.80597,0.74426,0.79968,0.67035,0.57007,0.58966,1.12197,0.001255,0.001255,0.001255
267,16394,0.62379,0.82205,1.13666,0.79349,0.75068,0.80051,0.67115,0.57004,0.5892,1.12178,0.001222,0.001222,0.001222
268,17426.3,0.62314,0.82124,1.13628,0.80195,0.74818,0.80052,0.6713,0.57009,0.58926,1.12145,0.001189,0.001189,0.001189
269,1010.82,0.61018,0.77827,1.12912,0.8012,0.74655,0.80128,0.67209,0.57004,0.58887,1.12135,0.001156,0.001156,0.001156
270,2040.88,0.61881,0.80963,1.13416,0.79918,0.74669,0.8019,0.67215,0.57001,0.58907,1.1213,0.001123,0.001123,0.001123
271,3072.31,0.61786,0.80754,1.13342,0.79817,0.74762,0.80143,0.67161,0.56969,0.58916,1.12098,0.00109,0.00109,0.00109
272,4103.37,0.61958,0.80962,1.13428,0.79916,0.74759,0.80157,0.67221,0.56948,0.58869,1.12078,0.001057,0.001057,0.001057
273,5134.96,0.61932,0.80562,1.13372,0.79502,0.74995,0.80217,0.67222,0.56949,0.58841,1.12075,0.001024,0.001024,0.001024
274,6166.47,0.61806,0.80109,1.13289,0.79462,0.7531,0.80264,0.67256,0.56971,0.58839,1.12074,0.000991,0.000991,0.000991
275,7197.98,0.61581,0.80063,1.13232,0.79083,0.75682,0.80319,0.67325,0.56935,0.58803,1.12055,0.000958,0.000958,0.000958
276,8202.21,0.61446,0.80135,1.13192,0.78946,0.75721,0.80392,0.67347,0.5699,0.58826,1.1208,0.000925,0.000925,0.000925
277,9233.69,0.61685,0.79857,1.13355,0.78889,0.75897,0.80427,0.67371,0.57027,0.58838,1.12105,0.000892,0.000892,0.000892
278,10263.9,0.61372,0.79201,1.13048,0.80028,0.75669,0.80457,0.67489,0.57082,0.58787,1.12126,0.000859,0.000859,0.000859
279,11273.4,0.6132,0.79943,1.13049,0.79564,0.75499,0.80499,0.67486,0.571,0.5881,1.12109,0.000826,0.000826,0.000826
280,12305.6,0.61188,0.78904,1.13013,0.79735,0.75305,0.80495,0.67602,0.57104,0.58842,1.1209,0.000793,0.000793,0.000793
281,13337.3,0.60969,0.78876,1.12784,0.79934,0.75217,0.80495,0.67566,0.57143,0.58825,1.12072,0.00076,0.00076,0.00076
282,14369.8,0.61039,0.78414,1.12863,0.80028,0.75169,0.80515,0.67548,0.57164,0.58839,1.12078,0.000727,0.000727,0.000727
283,15402.9,0.6092,0.7817,1.12852,0.80084,0.74962,0.80517,0.6751,0.57192,0.58796,1.12066,0.000694,0.000694,0.000694
284,16435.9,0.60877,0.77716,1.12828,0.80193,0.75094,0.80536,0.67524,0.57212,0.58717,1.12052,0.000661,0.000661,0.000661
285,17468.2,0.60517,0.77508,1.127,0.79431,0.75567,0.80562,0.67559,0.57206,0.5871,1.12025,0.000628,0.000628,0.000628
286,18500.9,0.60399,0.77531,1.12488,0.79695,0.75259,0.80591,0.67533,0.57242,0.58637,1.12011,0.000595,0.000595,0.000595
287,1011.29,0.59098,0.73365,1.1182,0.79588,0.75475,0.80541,0.67468,0.57285,0.58741,1.12031,0.000562,0.000562,0.000562
288,2042.64,0.60313,0.76256,1.1248,0.79852,0.75009,0.80555,0.67426,0.57309,0.58801,1.12017,0.000529,0.000529,0.000529
289,3074.7,0.5993,0.76031,1.12192,0.80255,0.74892,0.80546,0.67443,0.57298,0.58829,1.11995,0.000496,0.000496,0.000496
290,4106.46,0.60222,0.76239,1.12424,0.80121,0.74859,0.80545,0.67447,0.57312,0.58826,1.11996,0.000463,0.000463,0.000463
291,5138.25,0.50464,0.52972,1.11449,0.7966,0.75276,0.80645,0.67557,0.5723,0.58767,1.11911,0.00043,0.00043,0.00043
292,6150.82,0.49885,0.52053,1.11017,0.80006,0.7484,0.80642,0.6759,0.57154,0.58754,1.11796,0.000397,0.000397,0.000397
293,7161.19,0.49501,0.51139,1.10716,0.79817,0.74777,0.80695,0.67645,0.57097,0.58635,1.11697,0.000364,0.000364,0.000364
294,8189.3,0.49078,0.49953,1.10412,0.79791,0.74863,0.80746,0.6771,0.57,0.5846,1.11584,0.000331,0.000331,0.000331
295,9216.69,0.48676,0.49216,1.1007,0.79553,0.75294,0.80795,0.67776,0.56987,0.58371,1.11543,0.000298,0.000298,0.000298
296,10233.6,0.48429,0.48793,1.09774,0.79404,0.75637,0.80845,0.67839,0.56993,0.58332,1.11513,0.000265,0.000265,0.000265
297,11262.2,0.48204,0.48141,1.09652,0.79419,0.75544,0.80839,0.67855,0.56987,0.58254,1.11483,0.000232,0.000232,0.000232
298,12290.3,0.47968,0.47137,1.09471,0.79727,0.7531,0.80881,0.67865,0.57018,0.58205,1.11462,0.000199,0.000199,0.000199
299,13318.3,0.47795,0.46661,1.09353,0.79717,0.75277,0.80929,0.67908,0.57051,0.58134,1.11441,0.000166,0.000166,0.000166
300,14345.8,0.47233,0.46025,1.09039,0.79863,0.75351,0.80944,0.6787,0.57111,0.58168,1.11457,0.000133,0.000133,0.000133
